,STT,Tên báo cáo,Đơn vị,Trích yếu,Thời gian gửi,Mã doanh nghiệp,Tên công ty,Tiêu đề,Saving_path
67,68,Báo cáo tài chính Riêng quý II/ 2019,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng Quý II năm 2019,18/07/2019 13:52:18,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng quý II/ 2019,./crawl_table/AAV/Báo cáo tài chính Riêng Quý II năm 2019_18_07_2019 13_52_18
68,69,Báo cáo tài chính Hợp nhất quý I/ 2019,CÔNG TY CỔ PHẦN AAV GROUP,BCTC hợp nhất Quý I năm 2019,18/04/2019 15:08:20,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất quý I/ 2019,./crawl_table/AAV/BCTC hợp nhất Quý I năm 2019_18_04_2019 15_08_20
69,70,Báo cáo tài chính Riêng quý I/ 2019,CÔNG TY CỔ PHẦN AAV GROUP,BCTC riêng Quý I năm 2019,18/04/2019 14:59:46,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng quý I/ 2019,./crawl_table/AAV/BCTC riêng Quý I năm 2019_18_04_2019 14_59_46
70,71,Báo cáo tài chính Hợp nhất năm 2018,CÔNG TY CỔ PHẦN AAV GROUP,BCTC Hợp nhất đã được kiểm toán năm 2018,18/03/2019 14:51:00,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất năm 2018,./crawl_table/AAV/BCTC Hợp nhất đã được kiểm toán năm 2018_18_03_2019 14_51_00
71,72,Báo cáo tài chính Riêng năm 2018,CÔNG TY CỔ PHẦN AAV GROUP,BCTC Riêng đã được kiểm toán năm 2018,18/03/2019 14:47:00,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng năm 2018,./crawl_table/AAV/BCTC Riêng đã được kiểm toán năm 2018_18_03_2019 14_47_00
72,73,Báo cáo tài chính Hợp nhất quý IV/ 2018,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất cho kỳ kế toán Quý IV năm 2018,18/01/2019 16:20:13,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất quý IV/ 2018,./crawl_table/AAV/Báo cáo tài chính Hợp nhất quý IV_ 2018_18_01_2019 16_20_13
73,74,Báo cáo tài chính Riêng quý IV/ 2018,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng cho kỳ kế toán Quý IV năm 2018,18/01/2019 14:04:53,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng quý IV/ 2018,./crawl_table/AAV/Báo cáo tài chính Riêng quý IV_ 2018_18_01_2019 14_04_53
74,75,Báo cáo tài chính Hợp nhất quý III/ 2018,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất Quý III năm 2018,18/10/2018 13:54:28,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất quý III/ 2018,./crawl_table/AAV/Báo cáo tài chính Hợp nhất Quý III năm 2018_18_10_2018 13_54_28
75,76,Báo cáo tài chính Riêng quý III/ 2018,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng Quý III năm 2018,18/10/2018 13:52:54,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng quý III/ 2018,./crawl_table/AAV/Báo cáo tài chính Riêng Quý III năm 2018_18_10_2018 13_52_54
76,77,Báo cáo tài chính Hợp nhất bán niên 2018,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính hợp nhất bán niên năm 2018 đã soát xét,03/08/2018 15:09:20,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất bán niên 2018,./crawl_table/AAV/Báo cáo tài chính Hợp nhất bán niên 2018_03_08_2018 15_09_20
77,78,Báo cáo tài chính Riêng bán niên 2018,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính riêng bán niên năm 2018 đã soát xét,03/08/2018 15:05:43,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng bán niên 2018,./crawl_table/AAV/Báo cáo tài chính Riêng bán niên 2018_03_08_2018 15_05_43
78,79,Báo cáo tài chính Riêng quý II/ 2018,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng Quý II năm 2018,18/07/2018 16:15:59,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng quý II/ 2018,./crawl_table/AAV/Báo cáo tài chính Riêng Quý II năm 2018_18_07_2018 16_15_59
79,80,Báo cáo tài chính Hợp nhất quý II/ 2018,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất Quý II năm 2018,18/07/2018 15:48:57,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất quý II/ 2018,./crawl_table/AAV/Báo cáo tài chính Hợp nhất Quý II năm 2018_18_07_2018 15_48_57
80,81,Báo cáo tài chính Hợp nhất quý I/ 2018,CÔNG TY CỔ PHẦN AAV GROUP,BCTC Hợp nhất Quý I năm 2018,16/04/2018 16:43:30,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất quý I/ 2018,./crawl_table/AAV/BCTC Hợp nhất Quý I năm 2018_16_04_2018 16_43_30
81,82,Báo cáo tài chính Riêng quý I/ 2018,CÔNG TY CỔ PHẦN AAV GROUP,BCTC Riêng Quý I năm 2018,16/04/2018 16:29:19,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng quý I/ 2018,./crawl_table/AAV/BCTC Riêng Quý I năm 2018_16_04_2018 16_29_19
82,83,Báo cáo tài chính Riêng năm 2017,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng năm 2017,30/03/2018 14:05:44,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng năm 2017,./crawl_table/AAV/Báo cáo tài chính Riêng năm 2017_30_03_2018 14_05_44
83,84,Báo cáo tài chính Hợp nhất năm 2017,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất năm 2017,30/03/2018 11:33:04,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất năm 2017,./crawl_table/AAV/Báo cáo tài chính Hợp nhất năm 2017_30_03_2018 11_33_04
84,85,Báo cáo tài chính Hợp nhất quý IV/ 2017,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất Quý IV năm 2017,17/01/2018 16:58:31,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất quý IV/ 2017,./crawl_table/AAV/Báo cáo tài chính Hợp nhất Quý IV năm 2017_17_01_2018 16_58_31
85,86,Báo cáo tài chính Riêng quý IV/ 2017,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính riêng Quý IV năm 2017,17/01/2018 16:12:39,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng quý IV/ 2017,./crawl_table/AAV/Báo cáo tài chính riêng Quý IV năm 2017_17_01_2018 16_12_39
