,STT,Tên báo cáo,Đơn vị,Trích yếu,Thời gian gửi,Mã doanh nghiệp,Tên công ty,Tiêu đề,Saving_path
46,47,Báo cáo tài chính Mẹ - Năm,CTCP Nhựa An Phát Xanh,Báo cáo tài chính riêng năm 2020,29/03/2021 16:32:01,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ - Năm,./crawl_table/AAA/Báo cáo tài chính riêng năm 2020_29_03_2021 16_32_01
47,48,Báo cáo tài chính Mẹ - Quý 4/ 2020,CTCP Nhựa An Phát Xanh,Báo cáo tài chính quý IV Công ty mẹ,29/01/2021 16:59:08,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ - Quý 4/ 2020,./crawl_table/AAA/Báo cáo tài chính quý IV Công ty mẹ_29_01_2021 16_59_08
48,49,Báo cáo tài chính hợp nhất quý 4/ năm 2020,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất quý IV năm 2020,29/01/2021 16:37:13,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất quý 4/ năm 2020,./crawl_table/AAA/Báo cáo tài chính hợp nhất quý IV năm 2020_29_01_2021 16_37_13
49,50,Báo cáo tài chính Hợp nhất quý III/ 2020,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất quý 3 năm 2020,29/10/2020 16:28:27,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất quý III/ 2020,./crawl_table/AAA/Báo cáo tài chính hợp nhất quý 3 năm 2020_29_10_2020 16_28_27
50,51,Báo cáo tài chính Riêng quý III/ 2020,CTCP Nhựa An Phát Xanh,Báo cáo tài chính riêng quý 3 năm 2020,29/10/2020 16:24:15,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Riêng quý III/ 2020,./crawl_table/AAA/Báo cáo tài chính riêng quý 3 năm 2020_29_10_2020 16_24_15
51,52,Báo cáo tài chính Hợp nhất bán niên 2020,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất 6 tháng đầu năm 2020,28/08/2020 14:31:55,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất bán niên 2020,./crawl_table/AAA/Báo cáo tài chính hợp nhất 6 tháng đầu năm 2020_28_08_2020 14_31_55
52,53,Báo cáo tài chính Riêng bán niên 2020,CTCP Nhựa An Phát Xanh,Báo cáo tài chính riêng 6 tháng đầu năm 2020,28/08/2020 14:29:43,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Riêng bán niên 2020,./crawl_table/AAA/Báo cáo tài chính riêng 6 tháng đầu năm 2020_28_08_2020 14_29_43
53,54,Báo cáo tài chính Riêng quý II/ 2020,CTCP Nhựa An Phát Xanh,Báo cáo tài chính riêng quý II năm 2020,29/07/2020 15:51:59,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Riêng quý II/ 2020,./crawl_table/AAA/Báo cáo tài chính riêng quý II năm 2020_29_07_2020 15_51_59
54,55,Báo cáo tài chính Hợp nhất quý II/ 2020,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất quý II năm 2020,29/07/2020 15:44:23,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất quý II/ 2020,./crawl_table/AAA/Báo cáo tài chính hợp nhất quý II năm 2020_29_07_2020 15_44_23
55,56,Báo cáo tài chính Riêng quý I/ 2020,CTCP Nhựa An Phát Xanh,AAA Báo cáo tài chính riêng quý I năm 2020,29/04/2020 14:43:53,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Riêng quý I/ 2020,./crawl_table/AAA/AAA Báo cáo tài chính riêng quý I năm 2020_29_04_2020 14_43_53
56,57,Báo cáo tài chính Hợp nhất quý I/ 2020,CTCP Nhựa An Phát Xanh,AAA Báo cáo tài chính hợp nhất quý I năm 2020,29/04/2020 14:28:15,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất quý I/ 2020,./crawl_table/AAA/AAA Báo cáo tài chính hợp nhất quý I năm 2020_29_04_2020 14_28_15
